 26JUN2021 17:45:39: === <picamera.New object at 0xb69f3da8>
 26JUN2021 17:45:40: === here in the callback
 26JUN2021 17:45:41: === here in the callback
 26JUN2021 17:45:42: === here in the callback
 26JUN2021 17:45:43: === here in the callback
 26JUN2021 17:45:44: === here in the callback
 26JUN2021 17:45:45: === here in the callback
 26JUN2021 17:45:46: === here in the callback
 26JUN2021 17:45:47: === here in the callback
 26JUN2021 17:45:48: === here in the callback
 26JUN2021 17:45:48: === main.py closed , Signal = 2
