 26JUN2021 17:41:48: === <__main__.PiCamera object at 0xb6950490>
 26JUN2021 17:41:48: === here in the callback
 26JUN2021 17:41:49: === here in the callback
 26JUN2021 17:41:50: === here in the callback
 26JUN2021 17:41:51: === here in the callback
 26JUN2021 17:41:52: === here in the callback
 26JUN2021 17:41:53: === here in the callback
 26JUN2021 17:41:54: === here in the callback
 26JUN2021 17:41:55: === here in the callback
 26JUN2021 17:41:56: === here in the callback
 26JUN2021 17:41:57: === here in the callback
 26JUN2021 17:41:58: === here in the callback
 26JUN2021 17:41:59: === here in the callback
 26JUN2021 17:42:00: === here in the callback
 26JUN2021 17:42:01: === here in the callback
 26JUN2021 17:42:02: === here in the callback
 26JUN2021 17:42:03: === here in the callback
 26JUN2021 17:42:04: === here in the callback
 26JUN2021 17:42:05: === here in the callback
 26JUN2021 17:42:06: === here in the callback
 26JUN2021 17:42:07: === here in the callback
 26JUN2021 17:42:08: === here in the callback
 26JUN2021 17:42:09: === here in the callback
 26JUN2021 17:42:10: === here in the callback
 26JUN2021 17:42:11: === here in the callback
 26JUN2021 17:42:12: === here in the callback
 26JUN2021 17:42:13: === here in the callback
 26JUN2021 17:42:14: === here in the callback
 26JUN2021 17:42:15: === here in the callback
 26JUN2021 17:42:16: === here in the callback
 26JUN2021 17:42:17: === here in the callback
 26JUN2021 17:42:18: === here in the callback
 26JUN2021 17:42:19: === here in the callback
 26JUN2021 17:42:20: === here in the callback
 26JUN2021 17:42:21: === here in the callback
 26JUN2021 17:42:22: === here in the callback
 26JUN2021 17:42:23: === here in the callback
 26JUN2021 17:42:24: === here in the callback
 26JUN2021 17:42:25: === here in the callback
 26JUN2021 17:42:26: === here in the callback
 26JUN2021 17:42:27: === here in the callback
 26JUN2021 17:42:28: === here in the callback
 26JUN2021 17:42:29: === here in the callback
 26JUN2021 17:42:30: === here in the callback
 26JUN2021 17:42:31: === here in the callback
 26JUN2021 17:42:33: === here in the callback
 26JUN2021 17:42:33: === main.py closed , Signal = 2
