 26JUN2021 17:39:05: === <__main__.PiCamera object at 0xb69a5490>
 26JUN2021 17:39:06: === here in the callback
 26JUN2021 17:39:07: === here in the callback
 26JUN2021 17:39:08: === here in the callback
 26JUN2021 17:39:09: === here in the callback
 26JUN2021 17:39:10: === here in the callback
 26JUN2021 17:39:11: === here in the callback
 26JUN2021 17:39:12: === here in the callback
 26JUN2021 17:39:13: === here in the callback
 26JUN2021 17:39:14: === here in the callback
 26JUN2021 17:39:15: === here in the callback
 26JUN2021 17:39:16: === here in the callback
 26JUN2021 17:39:17: === here in the callback
 26JUN2021 17:39:18: === here in the callback
 26JUN2021 17:39:19: === here in the callback
 26JUN2021 17:39:20: === here in the callback
 26JUN2021 17:39:21: === here in the callback
 26JUN2021 17:39:22: === here in the callback
 26JUN2021 17:39:23: === here in the callback
 26JUN2021 17:39:24: === here in the callback
 26JUN2021 17:39:25: === here in the callback
 26JUN2021 17:39:26: === here in the callback
 26JUN2021 17:39:27: === here in the callback
 26JUN2021 17:39:28: === here in the callback
 26JUN2021 17:39:29: === here in the callback
 26JUN2021 17:39:30: === here in the callback
 26JUN2021 17:39:31: === here in the callback
 26JUN2021 17:39:32: === here in the callback
 26JUN2021 17:39:33: === here in the callback
 26JUN2021 17:39:34: === here in the callback
 26JUN2021 17:39:35: === here in the callback
 26JUN2021 17:39:36: === here in the callback
 26JUN2021 17:39:37: === here in the callback
 26JUN2021 17:39:38: === here in the callback
 26JUN2021 17:39:39: === here in the callback
 26JUN2021 17:39:40: === here in the callback
 26JUN2021 17:39:41: === here in the callback
 26JUN2021 17:39:42: === here in the callback
 26JUN2021 17:39:43: === here in the callback
 26JUN2021 17:39:44: === here in the callback
 26JUN2021 17:39:45: === here in the callback
 26JUN2021 17:39:46: === here in the callback
 26JUN2021 17:39:47: === here in the callback
 26JUN2021 17:39:48: === here in the callback
 26JUN2021 17:39:49: === here in the callback
 26JUN2021 17:39:50: === here in the callback
 26JUN2021 17:39:51: === here in the callback
 26JUN2021 17:39:52: === here in the callback
 26JUN2021 17:39:53: === here in the callback
 26JUN2021 17:39:54: === here in the callback
 26JUN2021 17:39:55: === here in the callback
 26JUN2021 17:39:56: === here in the callback
 26JUN2021 17:39:57: === here in the callback
 26JUN2021 17:39:58: === here in the callback
 26JUN2021 17:39:59: === here in the callback
 26JUN2021 17:40:00: === here in the callback
 26JUN2021 17:40:01: === here in the callback
 26JUN2021 17:40:02: === here in the callback
 26JUN2021 17:40:03: === here in the callback
 26JUN2021 17:40:04: === here in the callback
 26JUN2021 17:40:05: === here in the callback
 26JUN2021 17:40:06: === here in the callback
 26JUN2021 17:40:07: === here in the callback
 26JUN2021 17:40:08: === here in the callback
 26JUN2021 17:40:09: === here in the callback
 26JUN2021 17:40:10: === here in the callback
 26JUN2021 17:40:11: === here in the callback
 26JUN2021 17:40:12: === here in the callback
 26JUN2021 17:40:13: === here in the callback
 26JUN2021 17:40:14: === here in the callback
 26JUN2021 17:40:15: === here in the callback
 26JUN2021 17:40:16: === here in the callback
 26JUN2021 17:40:17: === here in the callback
 26JUN2021 17:40:18: === here in the callback
 26JUN2021 17:40:20: === here in the callback
 26JUN2021 17:40:21: === here in the callback
 26JUN2021 17:40:22: === here in the callback
 26JUN2021 17:40:23: === here in the callback
 26JUN2021 17:40:23: === main.py closed , Signal = 2
