 26JUN2021 17:37:28: === <__main__.PiCamera object at 0xb693e490>
 26JUN2021 17:37:28: === here in the callback
 26JUN2021 17:37:29: === here in the callback
 26JUN2021 17:37:31: === here in the callback
 26JUN2021 17:37:32: === here in the callback
 26JUN2021 17:37:33: === here in the callback
 26JUN2021 17:37:34: === here in the callback
 26JUN2021 17:37:35: === here in the callback
 26JUN2021 17:37:36: === here in the callback
 26JUN2021 17:37:37: === here in the callback
 26JUN2021 17:37:38: === here in the callback
 26JUN2021 17:37:39: === here in the callback
 26JUN2021 17:37:39: === main.py closed , Signal = 2
